DEPARTAMENTO;CODIGO DEPARTAMENTO;MUNICIPIO;CODIGO MUNICIPIO;COORDENADA X;COORDENADA Y;TIPO;INFRAESTRUCTURA
ANTIOQUIA;5;ABEJORRAL;5002;-75,43847414;5,804174069;;
NORTE DE SANTANDER;54;ÁBREGO;54003;-73,15863275;8,019889158;;
ANTIOQUIA;5;ABRIAQUÍ;5004;-76,08573479;6,626306703;;
META;50;ACACÍAS;50006;-73,57154973;3,94354645;;Castilla - San Fernando
META;50;ACACÍAS;50006;-73,57154973;3,94354645;Naftaducto;Chichimene - Apiay
META;50;ACACÍAS;50006;-73,57154973;3,94354645;Oleoducto;Castilla - Apiay
META;50;ACACÍAS;50006;-73,57154973;3,94354645;Estación;CHICHEMENE
CHOCÓ;27;ACANDÍ;27006;-77,26560256;8,384137815;;
HUILA;41;ACEVEDO;41006;-75,9966539;1,709089438;;
BOLÍVAR;13;ACHÍ;13006;-74,47785938;8,623073881;;
HUILA;41;AGRADO;41013;-75,71618723;2,269033362;;
CUNDINAMARCA;25;AGUA DE DIOS;25001;-74,67078936;4,372601518;;
CESAR;20;AGUACHICA;20011;-73,62265463;8,248863774;Oleoducto;Ayacucho - Galán
CESAR;20;AGUACHICA;20011;-73,62265463;8,248863774;Oleoducto;Galán - Ayacucho
CESAR;20;AGUACHICA;20011;-73,62265463;8,248863774;Poliducto;Pozos Colorados - Ayacucho - Galán
SANTANDER;68;AGUADA;68013;-73,53027776;6,181839999;;
CALDAS;17;AGUADAS;17013;-75,45520671;5,61722784;;
CASANARE;85;AGUAZUL;85010;-72,54792221;5,12605415;Oleoducto;Araguaney - El Porvenir
CASANARE;85;AGUAZUL;85010;-72,54792221;5,12605415;Oleoducto;OCENSA (Oleoducto Central)
CESAR;20;AGUSTÍN CODAZZI;20013;-73,223488;9,94900891;;
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Oleoducto;Tello - Dina - Tenay
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Oleoducto;Yaguará - Tenay
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Oleoducto;OAM (Oleoducto Alto Magdalena)
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Poliducto;Salgar - Neiva
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Estación;TENAY
HUILA;41;AIPE;41016;-75,27569512;3,243966295;Estación;DINA
CUNDINAMARCA;25;ALBÁN;25019;-74,4428272;4,891364174;Poliducto;Salgar - Mansilla
CUNDINAMARCA;25;ALBÁN;25019;-74,4428272;4,891364174;Propanoducto;Salgar - Vista Hermosa
CUNDINAMARCA;25;ALBÁN;25019;-74,4428272;4,891364174;Estación;ALBÁN
NARIÑO;52;ALBÁN;52019;-77,06857182;1,469967482;;
NARIÑO;52;SAN JOSÉ;52019;-77,06857182;1,469967482;;
SANTANDER;68;ALBANIA;68020;-73,79213372;5,788339413;Oleoducto;OCENSA (Oleoducto Central)
CAQUETÁ;18;ALBANIA;18029;-75,88193568;1,228145432;;
LA GUAJIRA;44;ALBANIA;44035;-72,53213;11,22900655;;
VALLE DEL CAUCA;76;ALCALÁ;76020;-75,78241378;4,678348685;;
NARIÑO;52;ALDANA;52022;-77,69537942;0,913444893;Oleoducto;OTA (Trasandino)
ANTIOQUIA;5;ALEJANDRÍA;5021;-75,09017715;6,364922466;;
MAGDALENA;47;ALGARROBO;47030;-74,10305427;10,25342048;Poliducto;Pozos Colorados - Ayacucho - Galán
HUILA;41;ALGECIRAS;41020;-75,29123801;2,497821122;;
CAUCA;19;ALMAGUER;19022;-76,83470687;1,912445195;;
BOYACÁ;15;ALMEIDA;15022;-73,38804129;4,954948443;;
TOLIMA;73;ALPUJARRA;73024;-74,94090704;3,38990458;;
HUILA;41;ALTAMIRA;41026;-75,76860665;2,079512857;;
CHOCÓ;27;ALTO BAUDÓ;27025;-77,08466258;5,638085538;;
CHOCÓ;27;PIE DE PATO;27025;-77,08466258;5,638085538;;
BOLÍVAR;13;ALTOS DEL ROSARIO;13030;-74,19550895;8,757262732;;
TOLIMA;73;ALVARADO;73026;-74,98736106;4,581673067;Oleoducto;OAM (Oleoducto Alto Magdalena)
TOLIMA;73;ALVARADO;73026;-74,98736106;4,581673067;Poliducto;Salgar - Neiva
ANTIOQUIA;5;AMAGÁ;5030;-75,70790216;6,032773316;;
ANTIOQUIA;5;AMALFI;5031;-74,98138753;6,978513784;;
TOLIMA;73;AMBALEMA;73030;-74,80978366;4,804183386;;
CUNDINAMARCA;25;ANAPOIMA;25035;-74,52535182;4,559934233;;
NARIÑO;52;ANCUYA;52036;-77,53103007;1,245210468;;
VALLE DEL CAUCA;76;ANDALUCÍA;76036;-76,15929485;4,151988963;Poliducto;Cartago - Yumbo
VALLE DEL CAUCA;76;ANDALUCÍA;76036;-76,15929485;4,151988963;Poliducto;ODECA (Oleoducto de Caldas)
ANTIOQUIA;5;ANDES;5034;-75,93848913;5,605060112;;
ANTIOQUIA;5;ANGELÓPOLIS;5036;-75,71599698;6,120932701;;
ANTIOQUIA;5;ANGOSTURA;5038;-75,35762276;6,866523711;;
CHOCÓ;27;ANIMAS;27810;-76,62051818;5,282084239;;
CUNDINAMARCA;25;ANOLAIMA;25040;-74,46174601;4,789079698;;
ANTIOQUIA;5;ANORÍ;5040;-75,10864101;7,193479882;;
CALDAS;17;ANSERMA;17042;-75,75316921;5,200515049;;
VALLE DEL CAUCA;76;ANSERMANUEVO;76041;-76,02990184;4,796171646;;
ANTIOQUIA;5;ANZÁ;5044;-75,91684512;6,294222543;;
TOLIMA;73;ANZOÁTEGUI;73043;-75,20188787;4,623409059;;
ANTIOQUIA;5;APARTADÓ;5045;-76,58246102;7,860497961;;
RISARALDA;66;APÍA;66045;-75,95338874;5,139707234;;
CUNDINAMARCA;25;APULO;25599;-74,59093572;4,537899063;;
BOYACÁ;15;AQUITANIA;15047;-72,88380052;5,435184398;;
MAGDALENA;47;ARACATACA;47053;-73,87934539;10,64497912;Poliducto;Pozos Colorados - Ayacucho - Galán
CALDAS;17;ARANZAZU;17050;-75,47410406;5,265645457;;
